question_id,symptom,question,slot,required,priority
159,weakness,How long have you had this symptom?,unknown,yes,1
160,weakness,Are symptoms getting worse?,unknown,yes,1
161,weakness,Any known allergies?,unknown,yes,1
162,swelling,Any recent travel?,unknown,yes,1
163,joint_pain,Is the pain mild,unknown,yes,1
164,joint_pain,moderate,unknown,yes,1
165,joint_pain,or severe?,unknown,yes,1
166,joint_pain,Any known allergies?,unknown,yes,1
167,stomach_pain,How long have you had this symptom?,unknown,yes,1
168,stomach_pain,When did it start?,unknown,yes,1
169,stomach_pain,Any known allergies?,unknown,yes,1
170,fatigue,Do you have fever with this?,unknown,yes,1
171,fatigue,Is the pain mild,unknown,yes,1
172,fatigue,moderate,unknown,yes,1
173,fatigue,or severe?,unknown,yes,1
174,fatigue,How long have you had this symptom?,unknown,yes,1
175,nausea,When did it start?,unknown,yes,1
176,nausea,How long have you had this symptom?,unknown,yes,1
177,dizziness,How long have you had this symptom?,unknown,yes,1
178,dizziness,When did it start?,unknown,yes,1
179,dizziness,Is the pain mild,unknown,yes,1
180,dizziness,moderate,unknown,yes,1
181,dizziness,or severe?,unknown,yes,1
182,stomach_pain,Is the pain mild,unknown,yes,1
183,stomach_pain,moderate,unknown,yes,1
184,stomach_pain,or severe?,unknown,yes,1
185,stomach_pain,Any known allergies?,unknown,yes,1
186,shortness_of_breath,Any recent travel?,unknown,yes,1
187,shortness_of_breath,Any known allergies?,unknown,yes,1
188,shortness_of_breath,How long have you had this symptom?,unknown,yes,1
189,shortness_of_breath,Are symptoms getting worse?,unknown,yes,1
190,weakness,Any known allergies?,unknown,yes,1
191,weakness,How long have you had this symptom?,unknown,yes,1
192,diarrhea,Any known allergies?,unknown,yes,1
193,diarrhea,When did it start?,unknown,yes,1
194,runny_nose,When did it start?,unknown,yes,1
195,runny_nose,Any recent travel?,unknown,yes,1
196,runny_nose,Do you have fever with this?,unknown,yes,1
197,runny_nose,How long have you had this symptom?,unknown,yes,1
198,runny_nose,Are symptoms getting worse?,unknown,yes,1
199,runny_nose,Do you have fever with this?,unknown,yes,1
200,runny_nose,Any known allergies?,unknown,yes,1
201,runny_nose,Is the pain mild,unknown,yes,1
202,runny_nose,moderate,unknown,yes,1
203,runny_nose,or severe?,unknown,yes,1
204,cough,When did it start?,unknown,yes,1
205,cough,Is the pain mild,unknown,yes,1
206,cough,moderate,unknown,yes,1
207,cough,or severe?,unknown,yes,1
208,cough,Are symptoms getting worse?,unknown,yes,1
209,cough,How long have you had this symptom?,unknown,yes,1
210,cold,When did it start?,unknown,yes,1
211,cold,Any known allergies?,unknown,yes,1
212,dizziness,Is the pain mild,unknown,yes,1
213,dizziness,moderate,unknown,yes,1
214,dizziness,or severe?,unknown,yes,1
215,dizziness,How long have you had this symptom?,unknown,yes,1
216,dizziness,Any known allergies?,unknown,yes,1
217,dizziness,Are symptoms getting worse?,unknown,yes,1
218,dizziness,Any recent travel?,unknown,yes,1
219,runny_nose,Is the pain mild,unknown,yes,1
220,runny_nose,moderate,unknown,yes,1
221,runny_nose,or severe?,unknown,yes,1
222,runny_nose,When did it start?,unknown,yes,1
223,runny_nose,Any known allergies?,unknown,yes,1
224,runny_nose,Do you have fever with this?,unknown,yes,1
225,headache,Do you have fever with this?,unknown,yes,1
226,headache,When did it start?,unknown,yes,1
227,headache,How long have you had this symptom?,unknown,yes,1
228,headache,Any recent travel?,unknown,yes,1
229,redness,Are symptoms getting worse?,unknown,yes,1
230,redness,When did it start?,unknown,yes,1
231,redness,Any known allergies?,unknown,yes,1
232,redness,How long have you had this symptom?,unknown,yes,1
233,nausea,Is the pain mild,unknown,yes,1
234,nausea,moderate,unknown,yes,1
235,nausea,or severe?,unknown,yes,1
236,nausea,Any recent travel?,unknown,yes,1
237,itching,Any recent travel?,unknown,yes,1
238,itching,When did it start?,unknown,yes,1
239,itching,Are symptoms getting worse?,unknown,yes,1
240,vomiting,Do you have fever with this?,unknown,yes,1
241,vomiting,Are symptoms getting worse?,unknown,yes,1
242,vomiting,Any recent travel?,unknown,yes,1
243,nausea,When did it start?,unknown,yes,1
244,nausea,Do you have fever with this?,unknown,yes,1
245,nausea,Is the pain mild,unknown,yes,1
246,nausea,moderate,unknown,yes,1
247,nausea,or severe?,unknown,yes,1
248,burning_sensation,Is the pain mild,unknown,yes,1
249,burning_sensation,moderate,unknown,yes,1
250,burning_sensation,or severe?,unknown,yes,1
251,burning_sensation,Do you have fever with this?,unknown,yes,1
252,swelling,Are symptoms getting worse?,unknown,yes,1
253,swelling,When did it start?,unknown,yes,1
254,swelling,Do you have fever with this?,unknown,yes,1
255,swelling,How long have you had this symptom?,unknown,yes,1
256,cough,Are symptoms getting worse?,unknown,yes,1
257,cough,When did it start?,unknown,yes,1
258,cough,Any known allergies?,unknown,yes,1
259,cough,Is the pain mild,unknown,yes,1
260,cough,moderate,unknown,yes,1
261,cough,or severe?,unknown,yes,1
262,cough,Any recent travel?,unknown,yes,1
263,cough,How long have you had this symptom?,unknown,yes,1
264,cough,Do you have fever with this?,unknown,yes,1
265,nausea,Is the pain mild,unknown,yes,1
266,nausea,moderate,unknown,yes,1
267,nausea,or severe?,unknown,yes,1
268,nausea,Any known allergies?,unknown,yes,1
269,nausea,When did it start?,unknown,yes,1
270,rash,Any recent travel?,unknown,yes,1
271,rash,Any known allergies?,unknown,yes,1
272,cold,Are symptoms getting worse?,unknown,yes,1
273,cold,Is the pain mild,unknown,yes,1
274,cold,moderate,unknown,yes,1
275,cold,or severe?,unknown,yes,1
276,cold,Do you have fever with this?,unknown,yes,1
277,cold,Any known allergies?,unknown,yes,1
278,cold,Any known allergies?,unknown,yes,1
279,cold,Are symptoms getting worse?,unknown,yes,1
280,cold,Do you have fever with this?,unknown,yes,1
281,vomiting,How long have you had this symptom?,unknown,yes,1
282,vomiting,Any known allergies?,unknown,yes,1
283,weakness,When did it start?,unknown,yes,1
284,weakness,Do you have fever with this?,unknown,yes,1
285,weakness,Any known allergies?,unknown,yes,1
286,weakness,Any recent travel?,unknown,yes,1
287,vomiting,Do you have fever with this?,unknown,yes,1
288,vomiting,Are symptoms getting worse?,unknown,yes,1
289,vomiting,How long have you had this symptom?,unknown,yes,1
290,vomiting,Any known allergies?,unknown,yes,1
291,vomiting,Any recent travel?,unknown,yes,1
292,redness,Do you have fever with this?,unknown,yes,1
293,redness,When did it start?,unknown,yes,1
294,redness,Any known allergies?,unknown,yes,1
295,redness,How long have you had this symptom?,unknown,yes,1
296,shortness_of_breath,Any known allergies?,unknown,yes,1
297,shortness_of_breath,Do you have fever with this?,unknown,yes,1
298,fatigue,Any known allergies?,unknown,yes,1
299,fatigue,Any recent travel?,unknown,yes,1
300,shortness_of_breath,How long have you had this symptom?,unknown,yes,1
301,shortness_of_breath,Do you have fever with this?,unknown,yes,1
302,shortness_of_breath,Any known allergies?,unknown,yes,1
303,nausea,Any known allergies?,unknown,yes,1
304,nausea,Do you have fever with this?,unknown,yes,1
305,nausea,When did it start?,unknown,yes,1
306,nausea,Is the pain mild,unknown,yes,1
307,nausea,moderate,unknown,yes,1
308,nausea,or severe?,unknown,yes,1
309,nausea,Are symptoms getting worse?,unknown,yes,1
310,burning_sensation,Do you have fever with this?,unknown,yes,1
311,burning_sensation,Are symptoms getting worse?,unknown,yes,1
312,burning_sensation,Any known allergies?,unknown,yes,1
313,redness,Is the pain mild,unknown,yes,1
314,redness,moderate,unknown,yes,1
315,redness,or severe?,unknown,yes,1
316,redness,How long have you had this symptom?,unknown,yes,1
317,nausea,How long have you had this symptom?,unknown,yes,1
318,nausea,Are symptoms getting worse?,unknown,yes,1
319,joint_pain,Any recent travel?,unknown,yes,1
320,joint_pain,Do you have fever with this?,unknown,yes,1
321,sneezing,How long have you had this symptom?,unknown,yes,1
322,sneezing,Any known allergies?,unknown,yes,1
323,nausea,How long have you had this symptom?,unknown,yes,1
324,nausea,Any known allergies?,unknown,yes,1
325,nausea,Are symptoms getting worse?,unknown,yes,1
326,nausea,Do you have fever with this?,unknown,yes,1
327,joint_pain,Are symptoms getting worse?,unknown,yes,1
328,joint_pain,Any recent travel?,unknown,yes,1
329,joint_pain,Do you have fever with this?,unknown,yes,1
330,cold,Any recent travel?,unknown,yes,1
331,cold,Do you have fever with this?,unknown,yes,1
332,cold,Is the pain mild,unknown,yes,1
333,cold,moderate,unknown,yes,1
334,cold,or severe?,unknown,yes,1
335,cold,Any known allergies?,unknown,yes,1
336,fever,Any known allergies?,unknown,yes,1
337,fever,Are symptoms getting worse?,unknown,yes,1
338,fever,When did it start?,unknown,yes,1
339,dizziness,How long have you had this symptom?,unknown,yes,1
340,dizziness,When did it start?,unknown,yes,1
341,runny_nose,When did it start?,unknown,yes,1
342,runny_nose,Do you have fever with this?,unknown,yes,1
343,runny_nose,How long have you had this symptom?,unknown,yes,1
344,runny_nose,Is the pain mild,unknown,yes,1
345,runny_nose,moderate,unknown,yes,1
346,runny_nose,or severe?,unknown,yes,1
347,fever,Any known allergies?,unknown,yes,1
348,fever,Any recent travel?,unknown,yes,1
349,fever,Is the pain mild,unknown,yes,1
350,fever,moderate,unknown,yes,1
351,fever,or severe?,unknown,yes,1
352,nausea,Are symptoms getting worse?,unknown,yes,1
353,nausea,When did it start?,unknown,yes,1
354,nausea,Do you have fever with this?,unknown,yes,1
355,nasal_congestion,When did it start?,unknown,yes,1
356,nasal_congestion,Do you have fever with this?,unknown,yes,1
357,nasal_congestion,Any known allergies?,unknown,yes,1
358,swelling,Any known allergies?,unknown,yes,1
359,swelling,How long have you had this symptom?,unknown,yes,1
360,swelling,When did it start?,unknown,yes,1
361,swelling,Is the pain mild,unknown,yes,1
362,swelling,moderate,unknown,yes,1
363,swelling,or severe?,unknown,yes,1
364,cough,Is the pain mild,unknown,yes,1
365,cough,moderate,unknown,yes,1
366,cough,or severe?,unknown,yes,1
367,cough,Any recent travel?,unknown,yes,1
368,cough,Are symptoms getting worse?,unknown,yes,1
369,cough,How long have you had this symptom?,unknown,yes,1
370,swelling,Are symptoms getting worse?,unknown,yes,1
371,swelling,Do you have fever with this?,unknown,yes,1
372,swelling,Any known allergies?,unknown,yes,1
373,swelling,When did it start?,unknown,yes,1
374,swelling,Is the pain mild,unknown,yes,1
375,swelling,moderate,unknown,yes,1
376,swelling,or severe?,unknown,yes,1
377,nausea,Is the pain mild,unknown,yes,1
378,nausea,moderate,unknown,yes,1
379,nausea,or severe?,unknown,yes,1
380,nausea,How long have you had this symptom?,unknown,yes,1
381,nausea,When did it start?,unknown,yes,1
382,nausea,Any known allergies?,unknown,yes,1
383,burning_sensation,Do you have fever with this?,unknown,yes,1
384,burning_sensation,How long have you had this symptom?,unknown,yes,1
385,fatigue,Do you have fever with this?,unknown,yes,1
386,fatigue,Any known allergies?,unknown,yes,1
387,fatigue,Is the pain mild,unknown,yes,1
388,fatigue,moderate,unknown,yes,1
389,fatigue,or severe?,unknown,yes,1
390,cold,Any known allergies?,unknown,yes,1
391,cold,Are symptoms getting worse?,unknown,yes,1
392,cold,Any recent travel?,unknown,yes,1
393,chest_pain,Do you have fever with this?,unknown,yes,1
394,chest_pain,How long have you had this symptom?,unknown,yes,1
395,headache,Is the pain mild,unknown,yes,1
396,headache,moderate,unknown,yes,1
397,headache,or severe?,unknown,yes,1
398,headache,How long have you had this symptom?,unknown,yes,1
399,rash,Any recent travel?,unknown,yes,1
400,rash,Do you have fever with this?,unknown,yes,1
401,rash,When did it start?,unknown,yes,1
402,rash,Any known allergies?,unknown,yes,1
403,joint_pain,Do you have fever with this?,unknown,yes,1
404,joint_pain,Is the pain mild,unknown,yes,1
405,joint_pain,moderate,unknown,yes,1
406,joint_pain,or severe?,unknown,yes,1
407,diarrhea,Is the pain mild,unknown,yes,1
408,diarrhea,moderate,unknown,yes,1
409,diarrhea,or severe?,unknown,yes,1
410,diarrhea,When did it start?,unknown,yes,1
411,headache,Are symptoms getting worse?,unknown,yes,1
412,headache,When did it start?,unknown,yes,1
413,headache,Any known allergies?,unknown,yes,1
414,rash,When did it start?,unknown,yes,1
415,rash,How long have you had this symptom?,unknown,yes,1
416,rash,Are symptoms getting worse?,unknown,yes,1
417,rash,Any recent travel?,unknown,yes,1
418,shortness_of_breath,How long have you had this symptom?,unknown,yes,1
419,fever,Are symptoms getting worse?,unknown,yes,1
420,fever,How long have you had this symptom?,unknown,yes,1
421,joint_pain,Do you have fever with this?,unknown,yes,1
422,joint_pain,How long have you had this symptom?,unknown,yes,1
423,joint_pain,Any known allergies?,unknown,yes,1
424,joint_pain,Any recent travel?,unknown,yes,1
425,nausea,Is the pain mild,unknown,yes,1
426,nausea,moderate,unknown,yes,1
427,nausea,or severe?,unknown,yes,1
428,nausea,Any known allergies?,unknown,yes,1
429,nausea,How long have you had this symptom?,unknown,yes,1
430,sneezing,Any recent travel?,unknown,yes,1
431,sneezing,Any known allergies?,unknown,yes,1
432,sneezing,Is the pain mild,unknown,yes,1
433,sneezing,moderate,unknown,yes,1
434,sneezing,or severe?,unknown,yes,1
435,sneezing,Any recent travel?,unknown,yes,1
436,runny_nose,How long have you had this symptom?,unknown,yes,1
437,runny_nose,When did it start?,unknown,yes,1
438,diarrhea,Any known allergies?,unknown,yes,1
439,diarrhea,When did it start?,unknown,yes,1
440,shortness_of_breath,Any known allergies?,unknown,yes,1
441,shortness_of_breath,How long have you had this symptom?,unknown,yes,1
442,nasal_congestion,Any known allergies?,unknown,yes,1
443,swelling,Is the pain mild,unknown,yes,1
444,swelling,moderate,unknown,yes,1
445,swelling,or severe?,unknown,yes,1
446,swelling,Do you have fever with this?,unknown,yes,1
447,cold,Are symptoms getting worse?,unknown,yes,1
448,cold,Is the pain mild,unknown,yes,1
449,cold,moderate,unknown,yes,1
450,cold,or severe?,unknown,yes,1
451,cold,How long have you had this symptom?,unknown,yes,1
452,cold,Any recent travel?,unknown,yes,1
453,swelling,Do you have fever with this?,unknown,yes,1
454,swelling,Is the pain mild,unknown,yes,1
455,swelling,moderate,unknown,yes,1
456,swelling,or severe?,unknown,yes,1
457,swelling,When did it start?,unknown,yes,1
458,fatigue,How long have you had this symptom?,unknown,yes,1
459,fatigue,Is the pain mild,unknown,yes,1
460,fatigue,moderate,unknown,yes,1
461,fatigue,or severe?,unknown,yes,1
462,nasal_congestion,Is the pain mild,unknown,yes,1
463,nasal_congestion,moderate,unknown,yes,1
464,nasal_congestion,or severe?,unknown,yes,1
465,nasal_congestion,How long have you had this symptom?,unknown,yes,1
466,fever,Do you have fever with this?,unknown,yes,1
467,fever,Is the pain mild,unknown,yes,1
468,fever,moderate,unknown,yes,1
469,fever,or severe?,unknown,yes,1
470,fever,Any recent travel?,unknown,yes,1
471,fever,When did it start?,unknown,yes,1
472,body_pain,Is the pain mild,unknown,yes,1
473,body_pain,moderate,unknown,yes,1
474,body_pain,or severe?,unknown,yes,1
475,body_pain,How long have you had this symptom?,unknown,yes,1
476,nausea,When did it start?,unknown,yes,1
477,nausea,Do you have fever with this?,unknown,yes,1
478,cough,How long have you had this symptom?,unknown,yes,1
479,cough,Any known allergies?,unknown,yes,1
480,cough,Do you have fever with this?,unknown,yes,1
481,cough,Is the pain mild,unknown,yes,1
482,cough,moderate,unknown,yes,1
483,cough,or severe?,unknown,yes,1
484,fatigue,Is the pain mild,unknown,yes,1
485,fatigue,moderate,unknown,yes,1
486,fatigue,or severe?,unknown,yes,1
487,fatigue,How long have you had this symptom?,unknown,yes,1
488,sneezing,Any known allergies?,unknown,yes,1
489,sneezing,Any recent travel?,unknown,yes,1
490,sneezing,When did it start?,unknown,yes,1
491,sneezing,How long have you had this symptom?,unknown,yes,1
492,sneezing,Any known allergies?,unknown,yes,1
493,sneezing,Do you have fever with this?,unknown,yes,1
494,sneezing,Any known allergies?,unknown,yes,1
495,sneezing,Are symptoms getting worse?,unknown,yes,1
496,sneezing,Any recent travel?,unknown,yes,1
497,fatigue,Any known allergies?,unknown,yes,1
498,fatigue,Any recent travel?,unknown,yes,1
499,fatigue,How long have you had this symptom?,unknown,yes,1
500,fatigue,Are symptoms getting worse?,unknown,yes,1
501,vomiting,Are symptoms getting worse?,unknown,yes,1
502,vomiting,When did it start?,unknown,yes,1
503,vomiting,Do you have fever with this?,unknown,yes,1
504,vomiting,Is the pain mild,unknown,yes,1
505,vomiting,moderate,unknown,yes,1
506,vomiting,or severe?,unknown,yes,1
507,runny_nose,Any recent travel?,unknown,yes,1
508,runny_nose,Is the pain mild,unknown,yes,1
509,runny_nose,moderate,unknown,yes,1
510,runny_nose,or severe?,unknown,yes,1
511,runny_nose,How long have you had this symptom?,unknown,yes,1
512,runny_nose,Any known allergies?,unknown,yes,1
513,chest_pain,How long have you had this symptom?,unknown,yes,1
514,chest_pain,Any recent travel?,unknown,yes,1
515,rash,Any recent travel?,unknown,yes,1
516,rash,How long have you had this symptom?,unknown,yes,1
517,headache,When did it start?,unknown,yes,1
518,headache,Are symptoms getting worse?,unknown,yes,1
519,headache,Any known allergies?,unknown,yes,1
520,rash,Do you have fever with this?,unknown,yes,1
521,rash,When did it start?,unknown,yes,1
522,rash,Is the pain mild,unknown,yes,1
523,rash,moderate,unknown,yes,1
524,rash,or severe?,unknown,yes,1
525,rash,Are symptoms getting worse?,unknown,yes,1
526,rash,How long have you had this symptom?,unknown,yes,1
527,fever,Any known allergies?,unknown,yes,1
528,fever,Any recent travel?,unknown,yes,1
529,fever,Do you have fever with this?,unknown,yes,1
530,fever,Are symptoms getting worse?,unknown,yes,1
531,fever,How long have you had this symptom?,unknown,yes,1
532,rash,Do you have fever with this?,unknown,yes,1
533,rash,When did it start?,unknown,yes,1
534,rash,Any known allergies?,unknown,yes,1
535,nausea,Are symptoms getting worse?,unknown,yes,1
536,nausea,How long have you had this symptom?,unknown,yes,1
537,nausea,Any known allergies?,unknown,yes,1
538,nausea,Any recent travel?,unknown,yes,1
539,nausea,Is the pain mild,unknown,yes,1
540,nausea,moderate,unknown,yes,1
541,nausea,or severe?,unknown,yes,1
542,burning_sensation,Any known allergies?,unknown,yes,1
543,burning_sensation,Do you have fever with this?,unknown,yes,1
544,burning_sensation,Any recent travel?,unknown,yes,1
545,burning_sensation,Are symptoms getting worse?,unknown,yes,1
546,fatigue,Do you have fever with this?,unknown,yes,1
547,rash,Do you have fever with this?,unknown,yes,1
548,rash,Any known allergies?,unknown,yes,1
549,rash,When did it start?,unknown,yes,1
550,runny_nose,Is the pain mild,unknown,yes,1
551,runny_nose,moderate,unknown,yes,1
552,runny_nose,or severe?,unknown,yes,1
553,runny_nose,Do you have fever with this?,unknown,yes,1
554,cough,Any known allergies?,unknown,yes,1
555,cough,Do you have fever with this?,unknown,yes,1
556,rash,Are symptoms getting worse?,unknown,yes,1
557,rash,Is the pain mild,unknown,yes,1
558,rash,moderate,unknown,yes,1
559,rash,or severe?,unknown,yes,1
560,rash,Any known allergies?,unknown,yes,1
561,diarrhea,Are symptoms getting worse?,unknown,yes,1
562,diarrhea,When did it start?,unknown,yes,1
563,burning_sensation,Any recent travel?,unknown,yes,1
564,burning_sensation,When did it start?,unknown,yes,1
565,burning_sensation,How long have you had this symptom?,unknown,yes,1
566,vomiting,Is the pain mild,unknown,yes,1
567,vomiting,moderate,unknown,yes,1
568,vomiting,or severe?,unknown,yes,1
569,vomiting,Any known allergies?,unknown,yes,1
570,vomiting,Any recent travel?,unknown,yes,1
571,sneezing,Is the pain mild,unknown,yes,1
572,sneezing,moderate,unknown,yes,1
573,sneezing,or severe?,unknown,yes,1
574,sneezing,Any recent travel?,unknown,yes,1
575,sneezing,When did it start?,unknown,yes,1
576,dizziness,Any recent travel?,unknown,yes,1
577,dizziness,Are symptoms getting worse?,unknown,yes,1
578,dizziness,How long have you had this symptom?,unknown,yes,1
579,dizziness,Do you have fever with this?,unknown,yes,1
580,joint_pain,When did it start?,unknown,yes,1
581,joint_pain,Any known allergies?,unknown,yes,1
582,joint_pain,Any recent travel?,unknown,yes,1
583,stomach_pain,Are symptoms getting worse?,unknown,yes,1
584,nausea,Any known allergies?,unknown,yes,1
585,nausea,Any recent travel?,unknown,yes,1
586,joint_pain,Any recent travel?,unknown,yes,1
587,joint_pain,Are symptoms getting worse?,unknown,yes,1
588,joint_pain,Any known allergies?,unknown,yes,1
589,cold,How long have you had this symptom?,unknown,yes,1
